x,y,z,visible_cameras,nx,ny,nz
58.6610,31.0948,54.3956,6.0000,-0.7065,-0.0016,-0.7077
-0.9294,-24.8460,-79.9946,7.0000,-0.0135,-0.0003,0.9999
-52.8076,-55.7113,60.0946,6.0000,0.6518,-0.0037,-0.7584
-55.6891,-42.6095,57.4345,6.0000,0.6893,-0.0001,-0.7245
72.1744,-10.2570,-34.5088,7.0000,-0.8790,0.0002,0.4768
-63.8933,-23.1299,48.1419,7.0000,0.7981,0.0013,-0.6025
79.9082,10.2878,3.8304,7.0000,-0.9999,0.0015,-0.0135
77.1507,-21.3075,21.1604,6.0000,-0.9519,-0.0011,-0.3064
10.5943,-1.1625,-79.2954,7.0000,-0.1116,-0.0003,0.9938
-75.1246,-17.5209,-27.5009,7.0000,0.9263,0.0000,0.3769
-36.7218,45.7900,-71.0740,7.0000,0.4749,0.0003,0.8800
68.7240,57.7737,-40.9513,7.0000,-0.8793,0.0008,0.4763
-79.7132,-3.0059,6.7675,7.0000,0.9938,-0.0002,-0.1115
57.5424,0.1472,-55.5776,6.0000,-0.7228,-0.0012,0.6910
56.3321,55.1813,56.8040,6.0000,-0.7071,-0.0005,-0.7071
-76.9216,-49.2782,-21.9789,6.0000,0.9604,-0.0001,0.2785
63.2002,-28.3505,-49.0483,7.0000,-0.8187,-0.0005,0.5742
-79.9812,-24.1042,1.7320,7.0000,0.9999,-0.0023,-0.0126
-69.8090,47.9911,39.0731,7.0000,0.8633,0.0013,-0.5046
-67.7186,52.1797,42.5933,7.0000,0.8640,0.0010,-0.5036
-51.8811,44.1642,-60.8963,6.0000,0.6634,-0.0008,0.7483
11.1380,17.5548,-79.2209,7.0000,-0.1109,-0.0010,0.9938
70.3229,41.9954,-38.1404,7.0000,-0.8803,-0.0001,0.4743
64.5012,42.1621,-47.3244,7.0000,-0.8192,-0.0011,0.5735
12.3627,6.4800,79.0390,7.0000,-0.1122,-0.0005,-0.9937
5.7149,-25.2099,79.7956,7.0000,-0.1116,-0.0000,-0.9937
21.9132,-6.3021,76.9403,6.0000,-0.3068,-0.0000,-0.9518
5.4465,4.2224,79.8144,7.0000,-0.1122,-0.0005,-0.9937
-43.2760,18.2058,67.2844,7.0000,0.5546,0.0018,-0.8321
-20.8317,-33.9553,-77.2401,6.0000,0.2789,0.0008,0.9603
-77.0944,-14.9809,-21.3648,6.0000,0.9604,-0.0025,0.2788
30.5078,36.0776,-73.9546,7.0000,-0.4056,0.0009,0.9140
51.1282,-31.2996,61.5298,7.0000,-0.6033,0.0003,-0.7975
22.7859,-44.9221,-76.6864,6.0000,-0.3063,0.0001,0.9519
59.1069,58.7488,53.9108,6.0000,-0.7481,0.0032,-0.6636
7.5306,58.6607,-79.6448,7.0000,-0.1115,0.0010,0.9938
38.6278,-38.5345,-70.0564,7.0000,-0.5037,0.0004,0.8639
-73.7305,50.5749,-31.0454,7.0000,0.9262,0.0023,0.3771
